t_s,health_monitor_cpu_pct,health_monitor_b_cpu_pct,task_server_cpu_pct,task_server_b_cpu_pct,slip_monitor_cpu_pct,system_monitor_cpu_pct,health_monitor_rss_mb,health_monitor_b_rss_mb,task_server_rss_mb,task_server_b_rss_mb,slip_monitor_rss_mb,system_monitor_rss_mb,load1
1.0,14.0,16.0,5.0,7.0,6.0,0.0,76.2,75.7,88.1,87.2,74.4,68.5,5.41
2.0,15.98,16.98,6.99,7.99,6.99,1.0,76.2,75.7,88.1,87.2,74.4,68.6,4.98
3.0,17.98,17.98,7.99,8.99,7.99,0.0,76.2,75.7,88.1,87.2,74.4,68.6,4.98
4.0,17.99,18.98,6.99,7.99,6.0,1.0,76.2,75.7,88.1,87.2,74.4,68.6,4.98
5.0,17.99,16.99,6.0,7.99,6.99,0.0,76.2,75.7,88.1,87.2,74.4,68.6,4.98
6.0,16.98,18.98,6.99,8.99,7.99,1.0,76.2,75.7,88.1,87.2,74.4,68.6,4.98
7.0,17.98,17.98,6.99,6.99,6.99,1.0,76.2,75.7,88.1,87.2,74.4,68.6,5.06
8.0,16.99,18.99,7.99,7.99,6.99,0.0,76.2,75.7,88.2,87.2,74.4,68.6,5.06
9.0,17.99,17.99,6.99,7.99,7.99,1.0,76.2,75.7,88.2,87.2,74.4,68.6,5.06
10.0,17.99,18.99,6.99,8.99,6.99,1.0,76.2,75.7,88.2,87.3,74.4,68.6,5.06
11.0,17.99,18.98,6.99,6.99,6.99,1.0,76.2,75.8,88.2,87.3,74.4,68.6,5.06
12.0,17.94,17.94,7.97,7.97,7.97,0.0,76.2,75.8,88.2,87.3,74.4,68.6,4.82
13.0,17.98,17.98,6.99,7.99,5.99,1.0,76.2,75.8,88.2,87.3,74.4,68.6,4.82
14.0,16.99,18.99,6.99,7.99,6.99,0.0,76.2,75.8,88.2,87.3,74.4,68.6,4.82
15.0,16.98,17.98,6.99,7.99,7.99,1.0,76.2,75.8,88.2,87.3,74.4,68.6,4.82
16.0,16.99,17.99,6.99,6.99,6.99,1.0,76.2,75.8,88.2,87.3,74.4,68.6,4.82
17.0,15.99,18.99,6.99,7.99,6.99,0.0,76.2,75.8,88.2,87.3,74.5,68.6,4.59
