t_s,health_monitor_cpu_pct,task_server_cpu_pct,slip_monitor_cpu_pct,system_monitor_cpu_pct,health_monitor_rss_mb,task_server_rss_mb,slip_monitor_rss_mb,system_monitor_rss_mb,load1
1.0,14.99,6.0,7.0,1.0,74.8,86.8,73.1,68.1,2.77
2.0,13.97,5.99,5.99,0.0,74.8,86.8,73.1,68.1,2.77
3.0,14.98,5.99,5.99,1.0,74.8,86.8,73.1,68.1,2.77
4.0,13.98,5.99,5.99,0.0,74.8,86.8,73.1,68.1,2.77
5.0,13.99,6.0,6.0,0.0,74.8,86.8,73.1,68.1,2.77
6.0,18.99,7.0,7.99,1.0,74.8,86.8,73.1,68.1,2.78
7.0,16.99,7.99,7.0,0.0,74.8,86.8,73.2,68.1,2.78
8.0,16.99,7.99,7.0,1.0,74.8,86.8,73.2,68.1,2.78
9.0,17.98,6.99,7.99,1.0,74.9,86.8,73.2,68.1,2.78
10.0,16.99,6.0,6.99,0.0,74.9,86.8,73.2,68.1,2.78
11.0,17.99,7.0,7.0,1.0,74.9,86.8,73.2,68.1,2.56
12.0,17.97,7.99,7.99,1.0,74.9,86.8,73.2,68.1,2.56
13.0,16.99,7.0,7.0,1.0,74.9,86.8,73.2,68.1,2.56
14.0,17.99,7.0,7.0,0.0,74.9,86.8,73.2,68.2,2.56
15.0,16.99,7.99,7.99,1.0,74.9,86.8,73.2,68.2,2.56
16.0,16.99,7.0,7.0,1.0,74.9,86.8,73.2,68.2,4.12
17.0,17.99,7.0,7.99,0.0,74.9,86.8,73.2,68.2,4.12
18.0,16.99,7.0,7.99,1.0,74.9,86.8,73.2,68.2,4.12
19.0,17.99,6.99,6.99,0.0,74.9,86.8,73.2,68.2,4.12
20.0,16.99,7.99,6.99,2.0,74.9,86.8,73.2,68.2,4.12
21.0,17.99,7.0,6.0,0.0,74.9,86.8,73.2,68.2,3.95
22.0,17.99,7.0,7.99,0.0,74.9,86.9,73.2,68.2,3.95
23.0,17.99,6.0,7.0,1.0,74.9,86.9,73.2,68.2,3.95
24.0,17.98,6.99,7.99,1.0,74.9,86.9,73.2,68.2,3.95
25.0,17.96,7.98,6.98,0.0,74.9,86.9,73.2,68.2,3.95
26.0,16.96,7.98,7.98,1.0,74.9,86.9,73.2,68.2,3.63
27.0,17.99,6.0,7.99,1.0,74.9,86.9,73.2,68.2,3.63
28.0,15.99,7.99,7.0,1.0,74.9,86.9,73.2,68.2,3.63
29.0,17.99,6.99,6.99,0.0,74.9,86.9,73.2,68.2,3.63
30.0,17.99,7.0,7.0,1.0,74.9,86.9,73.2,68.2,3.63
31.0,17.93,6.97,7.97,0.0,74.9,86.9,73.2,68.2,3.42
32.0,16.99,7.99,7.99,2.0,74.9,86.9,73.2,68.2,3.42
33.0,18.99,6.0,7.0,0.0,74.9,86.9,73.2,68.2,3.42
34.0,17.99,6.99,6.99,0.0,74.9,86.9,73.2,68.2,3.42
35.0,16.99,7.0,7.0,0.0,74.9,86.9,73.2,68.2,3.42
36.0,16.99,7.0,7.99,2.0,74.9,86.9,73.2,68.2,3.15
37.0,16.99,7.99,6.0,0.0,74.9,86.9,73.2,68.2,3.15
38.0,17.98,6.99,7.99,1.0,74.9,86.9,73.2,68.2,3.15
39.0,17.99,7.0,7.0,0.0,74.9,86.9,73.2,68.2,3.15
40.0,16.99,7.99,7.0,1.0,74.9,86.9,73.3,68.2,3.15
41.0,17.96,6.98,7.98,0.0,74.9,86.9,73.3,68.2,3.21
42.0,16.92,6.97,6.97,1.0,74.9,86.9,73.3,68.2,3.21
43.0,15.99,6.99,6.99,1.0,74.9,86.9,73.3,68.2,3.21
44.0,17.99,7.0,6.0,1.0,74.9,86.9,73.3,68.2,3.21
45.0,16.99,7.0,7.99,0.0,74.9,86.9,73.3,68.2,3.21
46.0,16.99,7.0,7.99,1.0,74.9,86.9,73.3,68.2,3.04
47.1,18.98,7.99,6.99,0.0,75.0,86.9,73.3,68.2,3.04
48.1,16.95,7.98,7.98,1.99,75.0,86.9,73.3,68.3,3.04
49.1,16.98,5.99,6.99,0.0,75.0,86.9,73.3,68.3,3.04
50.1,16.99,7.99,7.99,0.0,75.0,86.9,73.3,68.3,3.04
51.1,17.99,6.99,7.99,2.0,75.0,86.9,73.3,68.3,2.79
52.1,16.99,7.0,7.0,0.0,75.0,86.9,73.3,68.3,2.79
53.1,17.99,7.0,7.99,0.0,75.0,86.9,73.3,68.3,2.79
54.1,16.99,6.99,6.0,1.0,75.0,86.9,73.3,68.3,2.79
55.1,17.99,7.0,7.99,0.0,75.0,86.9,73.3,68.3,2.79
56.1,17.99,7.99,7.0,2.0,75.0,86.9,73.3,68.3,2.65
57.1,15.99,7.0,7.99,0.0,75.0,86.9,73.3,68.3,2.65
58.1,16.99,7.0,7.99,1.0,75.0,86.9,73.3,68.3,2.65
59.1,17.99,7.0,7.0,1.0,75.0,86.9,73.3,68.3,2.65
60.1,17.99,7.0,7.99,1.0,75.0,86.9,73.3,68.3,2.65
