t_s,health_monitor_cpu_pct,task_server_cpu_pct,slip_monitor_cpu_pct,system_monitor_cpu_pct,health_monitor_rss_mb,task_server_rss_mb,slip_monitor_rss_mb,system_monitor_rss_mb,load1
1.0,10.0,4.0,4.0,0.0,74.6,86.3,72.7,68.1,2.32
2.0,10.99,6.0,5.0,0.0,74.6,86.3,72.7,68.1,2.32
3.0,9.99,5.0,5.0,1.0,74.6,86.3,72.7,68.1,2.32
4.0,9.0,4.0,4.0,0.0,74.6,86.3,72.7,68.1,2.32
5.0,8.99,5.0,4.0,1.0,74.6,86.3,72.7,68.1,2.32
6.0,10.99,4.0,4.0,1.0,74.6,86.3,72.7,68.1,2.13
7.0,9.99,5.0,4.0,0.0,74.6,86.3,72.7,68.1,2.13
8.0,13.99,5.0,5.0,0.0,74.6,86.3,72.7,68.1,2.13
9.0,11.99,5.0,4.0,0.0,74.6,86.3,72.7,68.1,2.13
10.0,11.99,4.0,5.0,2.0,74.6,86.3,72.7,68.1,2.13
11.0,10.99,6.0,5.0,0.0,74.6,86.4,72.7,68.1,1.96
12.0,12.99,4.0,6.0,1.0,74.6,86.4,72.7,68.1,1.96
13.0,11.99,5.0,5.0,0.0,74.6,86.4,72.7,68.2,1.96
14.0,11.99,5.0,4.0,1.0,74.6,86.4,72.7,68.2,1.96
15.0,12.99,4.0,5.0,0.0,74.6,86.4,72.7,68.2,1.96
16.0,12.99,5.99,4.99,0.0,74.6,86.4,72.7,68.2,1.96
17.0,11.99,5.0,5.0,1.0,74.6,86.4,72.7,68.2,1.96
18.0,11.99,5.0,5.0,1.0,74.6,86.4,72.7,68.2,1.96
19.0,11.99,5.0,4.0,1.0,74.6,86.4,72.8,68.2,1.96
20.0,11.98,5.99,4.99,0.0,74.6,86.4,72.8,68.2,1.96
21.0,11.99,6.0,6.0,1.0,74.6,86.4,72.8,68.2,1.81
22.0,11.99,6.0,4.0,0.0,74.6,86.4,72.8,68.2,1.81
23.0,11.99,5.0,5.0,0.0,74.6,86.4,72.8,68.2,1.81
24.0,12.99,6.0,5.0,1.0,74.7,86.4,72.8,68.2,1.81
25.0,10.99,5.0,4.0,1.0,74.7,86.4,72.8,68.2,1.81
26.0,10.99,4.99,4.99,1.0,74.7,86.4,72.8,68.2,3.1
27.0,11.99,6.0,4.0,0.0,74.7,86.4,72.8,68.2,3.1
28.0,11.99,6.0,5.0,0.0,74.7,86.4,72.8,68.2,3.1
29.0,11.99,5.0,5.0,2.0,74.7,86.4,72.8,68.2,3.1
30.0,10.99,5.0,5.0,0.0,74.7,86.4,72.8,68.2,3.1
31.0,11.99,5.99,4.0,0.0,74.7,86.4,72.8,68.2,2.93
32.0,10.99,5.0,4.0,1.0,74.7,86.4,72.8,68.2,2.93
33.0,11.99,6.0,5.0,0.0,74.7,86.4,72.8,68.2,2.93
34.0,10.99,5.0,4.0,0.0,74.7,86.4,72.8,68.2,2.93
35.0,9.99,4.0,4.0,1.0,74.7,86.4,72.8,68.2,2.93
36.0,9.99,4.0,3.0,1.0,74.7,86.4,72.8,68.2,2.7
37.0,9.99,5.0,5.0,0.0,74.7,86.4,72.8,68.2,2.7
38.0,6.99,3.99,2.0,0.0,74.7,86.4,72.8,68.2,2.7
39.0,10.99,5.0,5.0,1.0,74.7,86.4,72.8,68.2,2.7
40.0,11.96,4.98,4.98,1.0,74.7,86.4,72.8,68.2,2.7
41.0,11.97,5.98,4.99,0.0,74.7,86.4,72.8,68.2,2.64
42.0,11.98,5.99,4.99,0.0,74.7,86.4,72.8,68.2,2.64
43.0,11.99,5.0,5.0,1.0,74.7,86.4,72.8,68.2,2.64
44.0,11.99,6.0,5.0,1.0,74.7,86.4,72.8,68.2,2.64
45.0,10.95,5.97,3.98,0.0,74.7,86.4,72.8,68.2,2.64
46.0,12.99,5.0,5.0,1.0,74.7,86.4,72.8,68.2,2.59
47.0,9.99,5.0,3.0,0.0,74.7,86.4,72.8,68.2,2.59
48.0,8.99,4.0,4.0,0.0,74.7,86.4,72.8,68.2,2.59
49.0,9.99,4.0,5.0,1.0,74.7,86.4,72.8,68.2,2.59
50.0,9.99,5.0,4.0,1.0,74.7,86.4,72.8,68.2,2.59
51.0,10.99,3.0,4.0,1.0,74.7,86.5,72.8,68.3,2.54
52.0,11.99,6.99,5.0,0.0,74.7,86.5,72.8,68.3,2.54
53.0,10.99,5.0,4.0,1.0,74.7,86.5,72.8,68.3,2.54
54.0,11.99,5.0,5.0,0.0,74.7,86.5,72.8,68.3,2.54
55.0,11.99,5.0,5.0,0.0,74.7,86.5,72.8,68.3,2.54
56.0,11.99,5.99,4.0,0.0,74.7,86.5,72.8,68.3,2.34
57.1,9.99,6.0,5.0,1.0,74.7,86.5,72.8,68.3,2.34
58.1,9.99,5.0,4.0,0.0,74.7,86.5,72.8,68.3,2.34
59.1,9.99,5.0,4.0,2.0,74.8,86.5,72.9,68.3,2.34
60.1,10.99,5.0,4.0,0.0,74.8,86.5,72.9,68.3,2.34
