t_s,health_monitor_cpu_pct,task_server_cpu_pct,slip_monitor_cpu_pct,system_monitor_cpu_pct,health_monitor_rss_mb,task_server_rss_mb,slip_monitor_rss_mb,system_monitor_rss_mb,load1
1.0,12.0,4.0,3.0,0.0,76.7,88.4,75.6,70.0,3.06
2.0,12.99,4.0,3.0,0.0,76.7,88.4,75.6,70.0,3.06
3.0,11.99,3.0,4.0,2.0,76.7,88.4,75.6,70.0,3.06
4.0,10.99,4.0,3.0,0.0,76.7,88.4,75.6,70.0,2.81
5.0,12.99,4.0,3.0,1.0,76.7,88.4,75.6,70.0,2.81
6.0,14.98,4.99,4.99,0.0,76.7,88.4,75.6,70.0,2.81
7.0,15.99,4.0,4.0,0.0,76.7,88.4,75.6,70.0,2.81
8.0,15.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,2.81
9.0,14.99,5.0,5.0,1.0,76.7,88.4,75.6,70.0,2.67
10.0,15.99,4.0,4.0,0.0,76.7,88.4,75.6,70.0,2.67
11.0,14.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,2.67
12.0,15.98,4.99,4.0,1.0,76.7,88.4,75.6,70.0,2.67
13.0,15.99,4.0,4.0,0.0,76.7,88.4,75.6,70.0,2.67
14.0,15.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,2.45
15.0,15.98,4.0,4.99,1.0,76.7,88.4,75.6,70.0,2.45
16.0,14.99,4.0,4.0,0.0,76.7,88.4,75.6,70.0,2.45
17.0,15.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,2.45
18.0,14.99,5.0,4.0,0.0,76.7,88.4,75.6,70.0,2.45
19.0,14.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,3.22
20.0,15.99,4.0,5.0,1.0,76.7,88.4,75.6,70.0,3.22
21.0,14.99,5.0,4.0,0.0,76.7,88.4,75.6,70.0,3.22
22.0,14.99,5.0,3.0,0.0,76.7,88.4,75.6,70.0,3.22
23.0,15.99,5.0,5.0,0.0,76.7,88.4,75.6,70.0,3.22
24.0,14.99,5.0,4.0,2.0,76.7,88.4,75.6,70.0,2.96
25.0,14.99,4.0,3.0,0.0,76.7,88.4,75.6,70.0,2.96
26.0,15.99,5.0,5.0,1.0,76.7,88.4,75.6,70.0,2.96
27.0,13.99,5.0,3.0,0.0,76.7,88.4,75.6,70.0,2.96
28.0,15.99,4.0,4.0,1.0,76.7,88.4,75.6,70.0,2.96
29.0,14.99,4.0,4.0,0.0,76.7,88.4,75.6,70.0,2.72
30.0,15.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,2.72
31.0,16.98,5.0,4.0,1.0,76.7,88.4,75.6,70.0,2.72
32.0,13.98,3.99,3.99,0.0,76.7,88.4,75.6,70.0,2.72
33.0,14.99,5.0,5.0,1.0,76.7,88.4,75.6,70.0,2.72
34.0,14.98,4.99,3.99,1.0,76.7,88.4,75.6,70.0,2.5
35.0,15.99,4.0,4.0,0.0,76.7,88.4,75.6,70.0,2.5
36.0,14.99,4.0,3.0,1.0,76.7,88.4,75.6,70.0,2.5
37.0,15.99,5.0,5.0,0.0,76.7,88.4,75.6,70.0,2.5
38.0,14.98,3.99,3.99,1.0,76.7,88.4,75.6,70.0,2.5
39.0,14.99,5.0,4.0,0.0,76.7,88.4,75.6,70.0,2.3
40.0,14.99,4.0,4.0,1.0,76.7,88.4,75.6,70.0,2.3
41.0,14.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,2.3
42.0,14.99,6.0,4.0,0.0,76.7,88.4,75.6,70.0,2.3
43.0,14.98,4.0,4.0,1.0,76.7,88.4,75.6,70.0,2.3
44.0,14.99,5.0,4.0,0.0,76.7,88.4,75.6,70.0,4.2
45.0,14.99,5.0,4.0,0.0,76.7,88.4,75.6,70.0,4.2
46.0,14.99,4.0,4.0,1.0,76.7,88.4,75.6,70.0,4.2
47.0,14.99,5.0,5.0,1.0,76.7,88.4,75.6,70.0,4.2
48.0,15.99,4.0,4.0,0.0,76.7,88.4,75.6,70.0,4.2
49.0,14.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,3.86
50.0,14.99,4.0,4.0,1.0,76.7,88.4,75.6,70.0,3.86
51.0,15.99,5.0,4.0,0.0,76.7,88.4,75.6,70.0,3.86
52.0,15.99,4.0,4.0,1.0,76.7,88.4,75.6,70.0,3.86
53.0,14.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,3.86
54.0,14.99,5.0,4.0,0.0,76.7,88.4,75.6,70.0,3.56
55.0,15.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,3.56
56.0,15.98,4.0,4.0,0.0,76.7,88.4,75.6,70.0,3.56
57.0,14.99,5.0,4.0,1.0,76.7,88.4,75.6,70.0,3.56
58.0,14.99,5.0,4.0,0.0,76.7,88.4,75.6,70.0,3.56
59.0,15.99,4.0,4.0,0.0,76.7,88.4,75.6,70.0,3.27
60.0,14.99,5.0,4.0,2.0,76.7,88.4,75.6,70.0,3.27
