t_s,cpu_probe_floor_cpu_pct,cpu_probe_raw_cpu_pct,cpu_probe_deser_cpu_pct,cpu_probe_tf_cpu_pct,health_monitor_cpu_pct,task_server_cpu_pct,cpu_probe_floor_rss_mb,cpu_probe_raw_rss_mb,cpu_probe_deser_rss_mb,cpu_probe_tf_rss_mb,health_monitor_rss_mb,task_server_rss_mb,load1
1.0,0.0,6.99,8.99,5.0,15.99,6.0,64.9,69.3,70.4,69.1,79.0,89.3,3.18
2.0,1.0,8.97,9.97,4.98,17.94,6.98,64.9,69.3,70.4,69.1,79.0,89.3,3.18
3.0,0.0,7.99,9.99,5.99,15.99,7.99,64.9,69.3,70.4,69.1,79.0,89.3,3.18
4.0,0.0,8.99,8.99,5.0,17.98,5.99,64.9,69.3,70.4,69.1,79.0,89.3,2.93
5.0,2.0,7.99,9.99,5.0,16.98,7.99,64.9,69.3,70.4,69.1,79.0,89.3,2.93
6.0,0.0,9.99,9.99,5.0,15.98,6.99,64.9,69.3,70.4,69.1,79.0,89.3,2.93
7.0,1.0,7.97,9.96,5.98,18.93,6.98,64.9,69.3,70.4,69.1,79.0,89.3,2.93
8.0,0.0,7.99,7.99,4.99,14.98,6.99,64.9,69.3,70.4,69.1,79.0,89.3,2.93
9.0,1.0,6.99,9.99,5.0,14.99,5.0,64.9,69.3,70.4,69.1,79.0,89.3,2.69
10.0,0.0,7.0,7.99,5.0,14.99,7.0,64.9,69.3,70.4,69.1,79.0,89.3,2.69
11.0,0.0,7.0,7.99,4.0,15.99,6.0,64.9,69.3,70.4,69.1,79.0,89.3,2.69
12.0,0.0,7.99,8.99,4.0,11.99,6.0,64.9,69.3,70.4,69.1,79.0,89.3,2.69
13.0,1.0,7.99,8.99,6.0,17.99,6.99,64.9,69.3,70.4,69.1,79.0,89.3,2.69
14.0,0.0,8.99,8.99,5.0,16.99,7.99,64.9,69.3,70.4,69.1,79.0,89.3,4.8
15.0,1.0,7.99,10.99,5.0,16.99,6.99,65.0,69.3,70.4,69.1,79.0,89.3,4.8
16.0,0.0,8.99,9.99,6.0,17.99,6.99,65.0,69.4,70.4,69.1,79.0,89.3,4.8
17.0,1.0,7.99,8.99,4.99,14.98,6.99,65.0,69.4,70.4,69.1,79.0,89.3,4.8
18.0,0.0,7.99,7.99,4.0,15.99,5.0,65.0,69.4,70.4,69.1,79.0,89.3,4.8
19.0,0.0,7.0,7.99,5.0,14.99,7.0,65.0,69.4,70.4,69.1,79.0,89.3,4.41
20.0,2.0,7.99,9.99,5.0,14.99,5.0,65.0,69.4,70.4,69.1,79.0,89.3,4.41
21.0,0.0,7.99,6.99,4.0,13.99,6.0,65.0,69.4,70.4,69.1,79.0,89.3,4.41
22.0,0.0,7.99,9.99,5.0,15.99,6.0,65.0,69.4,70.5,69.1,79.0,89.3,4.41
23.0,1.0,8.99,9.99,5.0,17.99,7.99,65.0,69.4,70.5,69.2,79.0,89.3,4.41
24.0,0.0,7.99,9.99,6.99,17.98,6.99,65.0,69.4,70.5,69.2,79.0,89.3,4.14
25.0,0.0,7.99,8.99,5.0,16.99,6.99,65.0,69.4,70.5,69.2,79.0,89.3,4.14
26.0,2.0,8.99,9.99,5.0,16.99,6.99,65.0,69.4,70.5,69.2,79.0,89.3,4.14
27.0,0.0,8.97,10.97,4.98,16.95,6.98,65.0,69.4,70.5,69.2,79.0,89.3,4.14
28.0,0.0,7.99,8.99,5.99,16.98,5.99,65.0,69.4,70.5,69.2,79.0,89.3,4.14
