t_s,cpu_probe_floor_cpu_pct,cpu_probe_raw_cpu_pct,cpu_probe_deser_cpu_pct,health_monitor_cpu_pct,task_server_cpu_pct,cpu_probe_floor_rss_mb,cpu_probe_raw_rss_mb,cpu_probe_deser_rss_mb,health_monitor_rss_mb,task_server_rss_mb,load1
1.0,0.0,8.0,9.0,15.0,6.0,63.7,68.1,70.1,77.9,89.0,5.63
2.0,1.0,7.99,7.99,14.99,5.99,63.7,68.1,70.1,77.9,89.0,5.63
3.0,0.0,7.0,8.99,13.99,6.0,63.7,68.1,70.1,77.9,89.0,5.17
4.0,1.0,8.0,8.0,15.99,6.0,63.7,68.1,70.1,77.9,89.0,5.17
5.0,0.0,7.99,9.99,16.99,7.99,63.7,68.1,70.1,77.9,89.0,5.17
6.0,0.0,8.99,9.99,18.98,5.99,63.7,68.1,70.1,77.9,89.0,5.17
7.0,0.0,8.99,9.99,17.99,7.99,63.7,68.1,70.1,77.9,89.0,5.17
8.0,1.0,7.99,9.99,17.99,6.99,63.7,68.1,70.1,77.9,89.1,5.16
9.0,0.0,8.98,8.98,19.97,6.99,63.7,68.1,69.2,77.9,89.1,5.16
10.0,0.0,8.99,10.99,16.98,6.99,63.7,68.1,69.2,77.9,89.1,5.16
11.0,1.0,8.98,9.98,15.96,7.98,63.7,68.1,69.2,78.0,89.1,5.16
12.0,0.0,7.98,9.98,16.96,6.98,63.7,68.1,69.2,78.0,89.1,5.16
13.0,2.0,8.99,9.99,16.98,7.99,63.7,68.1,69.2,78.0,89.1,4.83
14.0,0.0,7.99,9.99,16.99,6.99,63.7,68.1,69.2,78.0,89.1,4.83
15.0,0.0,8.99,9.99,17.99,6.99,63.7,68.1,69.2,78.0,89.1,4.83
16.0,0.0,7.99,8.99,16.99,7.0,63.7,68.1,69.2,78.0,89.1,4.83
17.0,0.0,8.99,9.99,16.99,6.99,63.7,68.1,69.2,78.0,89.1,4.83
18.0,1.0,7.99,8.99,18.99,8.99,63.7,68.1,69.3,78.0,89.1,5.88
19.0,1.0,8.99,9.99,16.99,6.0,63.7,68.1,69.3,78.0,89.1,5.88
20.0,0.0,7.99,8.99,16.98,6.99,63.7,68.1,69.3,78.0,89.1,5.88
21.0,0.0,8.99,10.99,17.99,7.0,63.7,68.1,69.3,78.0,89.1,5.88
22.0,1.0,7.99,8.99,16.99,7.0,63.7,68.1,69.3,78.0,89.1,5.88
23.0,0.0,7.99,9.99,18.98,6.99,63.7,68.1,69.3,78.0,89.1,5.41
24.0,0.0,8.99,8.99,16.99,7.99,63.7,68.1,69.3,78.0,89.1,5.41
25.0,1.0,8.99,9.99,17.99,7.0,63.7,68.2,69.3,78.0,89.1,5.41
26.0,1.0,8.99,9.99,16.99,6.99,63.7,68.2,69.3,78.0,89.1,5.41
27.0,0.0,8.99,9.99,18.99,6.99,63.7,68.2,69.3,78.0,89.1,5.41
28.0,0.0,7.98,9.98,17.96,6.98,63.7,68.2,69.3,78.0,89.1,5.78
29.0,1.0,8.99,9.99,17.99,7.99,63.7,68.2,69.3,78.0,89.1,5.78
30.0,0.0,8.99,9.99,17.99,6.0,63.7,68.2,69.3,78.0,89.1,5.78
31.0,1.0,8.99,9.99,17.99,6.99,63.7,68.2,69.3,78.0,89.1,5.78
32.0,0.0,7.0,7.0,14.99,6.0,63.7,68.2,69.3,78.0,89.1,5.78
33.0,0.0,6.99,9.99,14.99,6.0,63.7,68.2,69.3,78.0,89.1,5.32
34.0,1.0,8.99,7.99,14.98,5.99,63.8,68.2,69.3,78.0,89.1,5.32
35.0,0.0,6.98,8.98,14.96,5.99,63.8,68.2,69.3,78.0,89.1,5.32
36.0,0.0,7.98,8.98,15.96,5.99,63.8,68.2,69.3,78.0,89.1,5.32
37.0,1.0,8.99,9.99,16.98,6.99,63.8,68.2,69.3,78.0,89.1,5.32
38.0,0.0,7.99,8.99,17.98,6.99,63.8,68.2,69.3,78.0,89.1,5.05
39.0,0.0,7.99,9.99,17.99,6.99,63.8,68.2,69.3,78.0,89.1,5.05
40.0,1.0,8.99,9.99,16.99,6.99,63.8,68.2,69.3,78.0,89.1,5.05
41.0,0.0,8.99,9.99,16.99,7.99,63.8,68.2,69.3,78.0,89.1,5.05
42.0,1.0,8.99,9.99,19.98,7.99,63.8,68.2,69.3,78.1,89.1,5.05
43.0,1.0,7.99,9.98,16.97,6.99,63.8,68.2,69.3,78.1,89.1,4.73
44.0,0.0,9.99,9.99,18.99,6.99,63.8,68.2,69.3,78.1,89.1,4.73
45.0,0.0,8.99,9.99,17.99,6.99,63.8,68.2,69.3,78.1,89.1,4.73
46.0,0.0,7.99,9.98,17.97,6.99,63.8,68.2,69.3,78.1,89.1,4.73
47.0,0.0,8.99,9.99,16.98,6.99,63.8,68.2,69.3,78.1,89.1,4.73
48.1,1.0,8.97,9.96,17.93,6.97,63.8,68.2,69.3,78.1,89.1,4.91
49.1,1.0,8.99,9.99,17.98,5.99,63.8,68.2,69.3,78.1,89.1,4.91
50.1,0.0,8.99,9.99,17.98,7.99,63.8,68.2,69.4,78.1,89.1,4.91
51.1,0.0,7.99,8.99,14.99,6.0,63.8,68.2,69.4,78.1,89.1,4.91
52.1,2.0,7.99,7.99,13.99,6.0,63.8,68.2,69.4,78.1,89.1,4.91
53.1,0.0,6.97,7.96,15.93,5.97,63.8,68.2,69.4,78.1,89.1,4.52
54.1,0.0,7.0,9.99,13.99,6.0,63.8,68.2,69.4,78.1,89.1,4.52
55.1,0.0,7.0,7.99,14.99,7.0,63.8,68.2,69.4,78.1,89.1,4.52
56.1,1.0,8.99,8.99,17.99,6.99,63.8,68.2,69.4,78.1,89.1,4.52
57.1,0.0,8.95,9.94,15.91,6.96,63.8,68.3,69.4,78.1,89.1,4.52
58.1,0.0,7.99,8.99,17.98,7.99,63.8,68.3,69.4,78.1,89.1,4.15
59.1,1.0,8.99,10.99,17.99,7.0,63.8,68.3,69.4,78.1,89.1,4.15
60.1,0.0,8.99,8.99,17.99,6.99,63.8,68.3,69.4,78.1,89.1,4.15
61.1,1.0,7.99,10.99,17.99,7.0,63.8,68.3,69.4,78.1,89.1,4.15
62.1,0.0,8.99,8.99,17.99,7.99,63.8,68.3,69.4,78.1,89.1,4.15
63.1,1.0,8.99,8.99,17.98,6.99,63.8,68.3,69.4,78.1,89.1,3.9
64.1,0.0,8.99,10.99,16.99,6.99,63.8,68.3,69.4,78.1,89.1,3.9
65.1,0.0,8.99,8.99,16.99,7.99,63.8,68.3,69.4,78.1,89.1,3.9
66.1,1.0,7.99,9.99,17.99,7.0,63.8,68.3,69.4,78.1,89.1,3.9
67.1,0.0,8.99,10.99,19.99,6.0,63.8,68.3,69.4,78.1,89.1,3.9
68.1,0.0,8.99,9.99,18.99,6.99,63.8,68.3,69.4,78.1,89.1,3.75
69.1,0.0,8.99,8.99,17.99,6.99,63.8,68.3,69.4,78.1,89.1,3.75
70.1,1.0,7.99,10.99,16.98,5.99,63.8,68.3,69.4,78.1,89.1,3.75
71.1,1.0,9.99,9.99,16.99,7.99,63.8,68.3,69.4,78.1,89.1,3.75
72.1,0.0,8.99,9.99,16.99,7.0,63.8,68.3,69.4,78.1,89.1,3.75
73.1,1.0,8.99,9.99,17.98,6.99,63.8,68.3,69.4,78.1,89.1,3.45
74.1,0.0,7.99,9.99,17.98,6.99,63.9,68.3,69.4,78.1,89.1,3.45
75.1,0.0,9.99,10.99,17.99,6.99,63.9,68.3,69.4,78.1,89.1,3.45
76.1,1.0,7.99,8.99,17.99,7.99,63.9,68.3,69.4,78.1,89.1,3.45
77.1,1.0,8.99,9.99,16.99,6.0,63.9,68.3,69.4,78.1,89.1,3.45
78.1,0.0,8.99,9.99,16.99,6.99,63.9,68.3,69.4,78.1,89.1,3.17
79.1,0.0,7.99,9.99,17.98,6.99,63.9,68.3,69.4,78.1,89.1,3.17
80.1,0.0,8.98,9.98,17.96,6.99,63.9,68.3,69.5,78.2,89.1,3.17
81.1,1.0,9.99,10.99,16.99,7.99,63.9,68.3,69.5,78.2,89.1,3.17
82.1,1.0,8.99,8.99,16.98,6.99,63.9,68.3,69.5,78.2,89.1,3.17
83.1,0.0,7.99,10.99,16.98,7.99,63.9,68.3,69.5,78.2,89.1,2.92
84.1,0.0,7.99,8.99,17.98,5.99,63.9,68.3,69.5,78.2,89.1,2.92
85.1,1.0,8.99,9.99,17.99,6.99,63.9,68.3,69.5,78.2,89.1,2.92
86.1,0.0,7.99,9.98,16.97,6.99,63.9,68.3,69.5,78.2,89.1,2.92
87.1,1.0,7.99,9.99,18.99,6.0,63.9,68.3,69.5,78.2,89.1,2.92
88.1,0.0,8.99,8.99,16.99,7.99,63.9,68.4,69.5,78.2,89.1,2.76
89.1,0.0,8.98,10.98,17.96,6.99,63.9,68.4,69.5,78.2,89.1,2.76
90.1,1.0,8.97,9.97,18.94,6.98,63.9,68.4,69.5,78.2,89.1,2.76
91.1,0.0,7.99,9.99,17.99,7.99,63.9,68.4,69.5,78.2,89.1,2.76
92.1,1.0,8.99,9.99,17.99,7.0,63.9,68.4,69.5,78.2,89.1,2.76
93.1,0.0,8.99,9.99,16.99,6.0,63.9,68.4,69.5,78.2,89.1,3.98
94.1,0.0,7.99,9.99,17.98,7.99,63.9,68.4,69.5,78.2,89.1,3.98
95.1,0.0,8.98,9.98,16.97,5.99,63.9,68.4,69.5,78.2,89.1,3.98
96.1,1.0,7.98,9.98,17.96,6.98,63.9,68.4,69.5,78.2,89.1,3.98
97.1,0.0,8.99,9.99,16.99,6.99,63.9,68.4,69.5,78.2,89.1,3.98
98.1,1.0,9.98,9.98,17.97,6.99,63.9,68.4,69.5,78.2,89.1,3.82
99.1,1.0,8.99,9.99,15.99,6.99,63.9,68.4,69.5,78.2,89.1,3.82
100.1,0.0,7.99,9.99,16.99,6.99,63.9,68.4,69.5,78.2,89.1,3.82
101.1,0.0,8.99,8.99,16.98,6.99,63.9,68.4,69.5,78.2,89.1,3.82
102.1,1.0,7.99,9.99,16.98,6.99,63.9,68.4,69.5,78.2,89.1,3.82
103.1,0.0,7.99,9.99,17.99,6.99,63.9,68.4,69.5,78.2,89.1,3.52
104.1,0.0,8.99,9.99,16.99,6.0,63.9,68.4,69.5,78.2,89.1,3.52
105.1,1.0,8.98,9.98,18.97,7.99,63.9,68.4,69.5,78.2,89.1,3.52
106.1,0.0,7.98,8.97,16.95,7.98,64.0,68.4,69.5,78.2,89.1,3.52
107.1,1.0,8.98,10.98,17.97,6.99,64.0,68.4,69.5,78.2,89.1,3.52
108.1,0.0,8.99,8.99,16.98,6.99,64.0,68.4,69.5,78.2,89.1,3.24
109.1,1.0,7.99,9.99,17.98,6.99,64.0,68.4,69.5,78.2,89.1,3.24
110.1,0.0,7.99,9.99,17.99,7.0,64.0,68.4,69.5,78.2,89.1,3.24
111.1,0.0,8.99,9.99,16.98,7.99,64.0,68.4,69.5,78.2,89.1,3.24
112.1,1.0,9.97,9.97,18.94,7.98,64.0,68.4,69.5,78.2,89.1,3.24
113.1,0.0,8.99,9.99,17.99,6.0,64.0,68.4,69.5,78.2,89.1,3.06
114.1,1.0,7.99,8.99,17.99,7.99,64.0,68.4,69.6,78.2,89.1,3.06
115.1,0.0,7.99,10.99,17.99,6.99,64.0,68.4,69.6,78.2,89.1,3.06
116.1,0.0,9.99,9.99,17.99,7.0,64.0,68.4,69.6,78.2,89.1,3.06
117.1,0.0,7.99,9.99,17.98,6.99,64.0,68.5,69.6,78.2,89.1,3.06
118.1,1.0,8.99,8.99,15.99,6.99,64.0,68.5,69.6,78.2,89.1,2.89
119.1,1.0,8.99,9.99,16.99,7.99,64.0,68.5,69.6,78.2,89.1,2.89
120.1,0.0,8.99,9.99,17.99,6.0,64.0,68.5,69.6,78.2,89.1,2.89
