t_s,health_monitor_cpu_pct,health_monitor_py_cpu_pct,health_monitor_rss_mb,health_monitor_py_rss_mb,load1
1.0,1.0,8.0,22.7,64.6,0.06
2.0,1.0,8.0,22.7,64.6,0.06
3.0,0.0,8.0,22.7,64.6,0.06
4.0,1.0,7.0,22.7,64.6,0.06
5.0,1.0,8.0,22.7,64.7,0.06
6.0,0.0,9.99,22.7,64.7,0.06
7.0,1.0,10.99,22.7,64.7,0.06
8.0,1.0,10.99,22.7,64.7,0.05
9.0,1.0,10.99,22.7,64.7,0.05
10.0,1.0,10.98,22.7,64.7,0.05
11.0,1.0,9.99,22.7,64.7,0.05
12.0,0.0,9.99,22.7,64.7,0.05
13.0,1.0,11.99,22.7,64.7,0.05
14.0,1.0,9.99,22.7,64.7,0.05
15.0,0.0,9.99,22.7,64.7,0.05
16.0,1.0,10.99,22.7,64.7,0.05
17.0,2.0,10.99,22.7,64.7,0.05
18.0,1.0,9.99,22.7,64.7,0.04
19.0,0.0,10.99,22.7,64.7,0.04
20.0,1.0,10.99,22.7,64.7,0.04
21.0,1.0,10.99,22.8,64.7,0.04
22.0,1.0,9.99,22.8,64.7,0.04
23.0,0.0,10.99,22.8,64.7,0.04
24.0,1.0,10.99,22.8,64.7,0.04
25.0,1.0,9.99,22.8,64.7,0.04
26.0,1.0,10.99,22.8,64.7,0.04
27.0,1.0,10.99,22.8,64.7,0.04
28.0,1.0,10.99,22.8,64.7,0.04
29.0,1.0,10.99,22.8,64.7,0.04
30.0,0.0,10.99,22.8,64.7,0.04
31.0,1.0,9.99,22.8,64.7,0.04
32.0,1.0,11.99,22.8,64.7,0.04
33.0,1.0,10.99,22.8,64.7,0.11
34.0,1.0,9.99,22.8,64.7,0.11
35.0,0.0,9.99,22.8,64.7,0.11
36.0,2.0,10.99,22.8,64.7,0.11
37.0,1.0,10.99,22.8,64.7,0.11
38.0,1.0,10.99,22.8,64.7,0.1
39.0,0.0,9.99,22.8,64.7,0.1
40.0,0.0,10.99,22.8,64.7,0.1
41.0,1.0,10.99,22.8,64.7,0.1
42.0,1.0,9.99,22.8,64.7,0.1
43.0,1.0,10.99,22.8,64.7,0.1
44.0,1.0,10.99,22.8,64.7,0.1
45.0,1.0,9.99,22.8,64.7,0.1
46.0,1.0,10.99,22.8,64.7,0.1
47.0,1.0,10.99,22.8,64.7,0.1
48.0,0.0,9.99,22.8,64.7,0.09
49.0,1.0,10.99,22.8,64.7,0.09
50.0,1.0,10.99,22.8,64.7,0.09
51.0,1.0,9.99,22.8,64.7,0.09
52.0,1.0,10.99,22.8,64.7,0.09
53.0,2.0,10.99,22.8,64.7,0.08
54.0,0.0,9.99,22.8,64.7,0.08
55.0,1.0,10.99,22.8,64.7,0.08
56.0,1.0,9.99,22.8,64.7,0.08
57.0,1.0,10.99,22.8,64.7,0.08
58.0,1.0,9.0,22.8,64.7,0.15
59.0,1.0,10.99,22.8,64.7,0.15
60.0,0.0,9.99,22.8,64.7,0.15
61.0,1.0,9.99,22.8,64.7,0.15
62.0,1.0,10.99,22.8,64.7,0.15
63.0,1.0,9.99,22.8,64.7,0.14
64.0,1.0,10.99,22.8,64.7,0.14
65.0,1.0,9.99,22.8,64.7,0.14
66.0,0.0,9.99,22.8,64.7,0.14
67.0,1.0,10.99,22.8,64.7,0.14
68.0,1.0,9.99,22.8,64.7,0.13
69.0,1.0,10.99,22.8,64.7,0.13
70.0,1.0,9.99,22.8,64.7,0.13
71.0,1.0,9.99,22.8,64.7,0.13
72.0,0.0,10.99,22.8,64.7,0.13
73.0,1.0,9.99,22.8,64.7,0.12
74.0,1.0,10.99,22.8,64.7,0.12
75.0,1.0,9.99,22.8,64.7,0.12
76.0,1.0,10.99,22.8,64.7,0.12
77.0,1.0,10.99,22.8,64.7,0.12
78.0,1.0,9.99,22.8,64.7,0.11
79.0,1.0,10.99,22.8,64.7,0.11
80.0,1.0,10.99,22.8,64.7,0.11
81.0,1.0,9.99,22.8,64.7,0.11
82.0,1.0,10.99,22.8,64.7,0.11
83.0,1.0,10.99,22.8,64.7,0.1
84.0,0.0,10.99,22.8,64.7,0.1
85.0,1.0,10.99,22.8,64.7,0.1
86.0,1.0,9.99,22.8,64.7,0.1
87.0,1.0,10.99,22.8,64.7,0.1
88.0,1.0,9.99,22.8,64.7,0.09
89.0,1.0,10.99,22.8,64.7,0.09
90.0,0.0,9.99,22.8,64.7,0.09
91.0,1.0,10.99,22.8,64.7,0.09
92.1,1.0,9.99,22.8,64.7,0.09
93.1,1.0,9.99,22.8,64.7,0.08
94.1,1.0,10.99,22.8,64.7,0.08
95.1,1.0,9.99,22.8,64.7,0.08
96.1,1.0,10.99,22.8,64.7,0.08
97.1,1.0,10.99,22.8,64.7,0.08
98.1,0.0,9.99,22.8,64.7,0.16
99.1,1.0,10.99,22.8,64.7,0.16
100.1,1.0,9.99,22.8,64.7,0.16
101.1,0.0,10.99,22.8,64.7,0.16
102.1,1.0,10.99,22.8,64.7,0.16
103.1,1.0,9.99,22.8,64.7,0.15
104.1,1.0,10.99,22.8,64.7,0.15
105.1,1.0,9.99,22.8,64.7,0.15
106.1,1.0,10.99,22.8,64.7,0.15
107.1,1.0,9.99,22.8,64.7,0.15
108.1,1.0,10.99,22.8,64.7,0.21
109.1,1.0,10.99,22.8,64.7,0.21
110.1,0.0,9.99,22.8,64.7,0.21
111.1,1.0,9.99,22.8,64.7,0.21
112.1,1.0,10.99,22.8,64.7,0.21
113.1,1.0,9.99,22.8,64.7,0.2
114.1,1.0,10.99,22.8,64.7,0.2
115.1,1.0,9.99,22.8,64.7,0.2
116.1,1.0,9.99,22.8,64.7,0.2
117.1,0.0,11.99,22.8,64.7,0.2
118.1,1.0,9.99,22.8,64.7,0.18
119.1,1.0,9.99,22.8,64.7,0.18
120.1,1.0,10.99,22.8,64.7,0.18
121.1,1.0,10.99,22.8,64.7,0.18
122.1,2.0,10.99,22.8,64.7,0.18
123.1,0.0,10.99,22.8,64.7,0.17
124.1,1.0,9.99,22.8,64.7,0.17
125.1,1.0,9.99,22.8,64.7,0.17
126.1,1.0,10.99,22.8,64.7,0.17
127.1,1.0,10.99,22.8,64.7,0.17
128.1,0.0,9.99,22.8,64.7,0.23
129.1,1.0,10.99,22.8,64.7,0.23
130.1,1.0,10.99,22.8,64.7,0.23
131.1,1.0,9.99,22.8,64.7,0.23
132.1,0.0,10.99,22.8,64.7,0.23
133.1,1.0,10.99,22.8,64.7,0.21
134.1,1.0,10.99,22.8,64.7,0.21
135.1,1.0,10.99,22.8,64.7,0.21
136.1,0.0,10.99,22.8,64.7,0.21
137.1,0.0,9.99,22.8,64.7,0.21
138.1,1.0,10.99,22.8,64.7,0.2
139.1,1.0,10.99,22.8,64.7,0.2
140.1,1.0,9.99,22.8,64.7,0.2
141.1,1.0,9.99,22.8,64.7,0.2
142.1,0.0,10.99,22.8,64.7,0.2
143.1,1.0,10.99,22.8,64.7,0.18
144.1,1.0,9.99,22.8,64.7,0.18
145.1,1.0,10.99,22.8,64.7,0.18
146.1,1.0,10.99,22.8,64.7,0.18
147.1,1.0,10.99,22.8,64.7,0.18
148.1,1.0,10.99,22.8,64.7,0.17
149.1,1.0,10.99,22.8,64.7,0.17
150.1,0.0,9.99,22.8,64.7,0.17
151.1,1.0,10.99,22.8,64.7,0.17
152.1,1.0,10.99,22.8,64.7,0.17
153.1,1.0,10.99,22.8,64.7,0.15
154.1,0.0,10.99,22.8,64.7,0.15
155.1,1.0,9.99,22.8,64.7,0.15
156.1,1.0,10.99,22.8,64.7,0.15
157.1,1.0,10.99,22.8,64.7,0.15
158.1,1.0,9.99,22.8,64.7,0.22
159.1,0.0,10.99,22.8,64.7,0.22
160.1,1.0,9.99,22.8,64.7,0.22
161.1,1.0,10.99,22.8,64.7,0.22
162.1,1.0,10.99,22.8,64.7,0.22
163.1,1.0,9.99,22.8,64.7,0.2
164.1,1.0,10.99,22.8,64.7,0.2
165.1,0.0,10.99,22.8,64.7,0.2
166.1,1.0,9.99,22.8,64.7,0.2
167.1,1.0,9.99,22.8,64.7,0.2
168.1,1.0,10.99,22.8,64.7,0.19
169.1,1.0,10.99,22.8,64.7,0.19
170.1,1.0,9.99,22.8,64.7,0.19
171.1,0.0,10.99,22.8,64.7,0.19
172.1,1.0,10.99,22.8,64.7,0.19
173.1,1.0,10.99,22.8,64.7,0.17
174.1,1.0,9.99,22.8,64.7,0.17
175.1,1.0,10.99,22.8,64.7,0.17
176.1,1.0,10.99,22.8,64.7,0.17
177.1,0.0,9.99,22.8,64.7,0.17
178.1,1.0,10.99,22.8,64.7,0.16
179.1,1.0,9.99,22.8,64.7,0.16
180.1,1.0,10.99,22.8,64.7,0.16
