t_s,health_monitor_cpu_pct,health_monitor_py_cpu_pct,health_monitor_rss_mb,health_monitor_py_rss_mb,load1
1.0,1.0,9.0,22.8,64.7,1.69
2.0,1.0,10.0,22.8,64.7,1.69
3.0,0.0,10.0,22.8,64.7,1.69
4.0,1.0,10.0,22.8,64.7,1.69
5.0,1.0,10.0,22.8,64.7,1.96
6.0,1.0,9.0,22.8,64.7,1.96
7.0,1.0,9.99,22.8,64.7,1.96
8.0,1.0,10.0,22.9,64.7,1.96
9.0,1.0,9.0,22.9,64.7,1.96
10.0,1.0,10.0,22.9,64.7,2.04
11.0,1.0,9.99,22.9,64.7,2.04
12.0,1.0,8.99,22.9,64.7,2.04
13.0,1.0,9.99,22.9,64.7,2.04
14.0,1.0,9.99,22.9,64.7,2.04
15.0,1.0,10.0,22.9,64.7,2.12
16.0,0.0,9.0,22.9,64.7,2.12
17.0,2.0,10.0,22.9,64.7,2.12
18.0,0.0,10.0,22.9,64.7,2.12
19.0,1.0,9.0,22.9,64.7,2.12
20.0,2.0,10.0,22.9,64.7,2.19
21.0,0.0,10.0,22.9,64.7,2.19
22.0,1.0,9.0,22.9,64.7,2.19
23.0,1.0,10.0,22.9,64.7,2.19
24.0,1.0,10.98,22.9,64.7,2.19
25.0,1.0,9.0,22.9,64.7,2.25
26.0,1.0,10.0,22.9,64.7,2.25
27.0,1.0,10.0,22.9,64.7,2.25
28.0,1.0,9.0,22.9,64.7,2.25
29.0,0.0,10.0,22.9,64.7,2.25
30.0,2.0,10.0,22.9,64.7,2.48
31.0,1.0,10.0,22.9,64.7,2.48
32.0,1.0,9.0,22.9,64.7,2.48
33.0,0.0,10.0,22.9,64.7,2.48
34.0,1.0,10.0,22.9,64.7,2.48
35.0,2.0,9.0,22.9,64.7,2.6
36.0,1.0,10.0,22.9,64.7,2.6
37.0,0.0,10.0,22.9,64.7,2.6
38.0,1.0,10.0,22.9,64.7,2.6
39.0,1.0,11.0,22.9,64.7,2.6
40.0,1.0,10.0,22.9,64.7,2.63
41.0,1.0,9.0,22.9,64.7,2.63
42.0,1.0,9.99,22.9,64.7,2.63
43.0,1.0,9.99,22.9,64.7,2.63
44.0,1.0,8.0,22.9,64.7,2.63
45.0,1.0,10.0,22.9,64.7,2.66
46.0,1.0,10.0,22.9,64.7,2.66
47.0,0.0,9.0,22.9,64.7,2.66
48.0,1.0,10.0,22.9,64.7,2.66
49.0,1.0,10.0,22.9,64.7,2.66
50.0,1.0,10.0,22.9,64.7,2.85
51.0,1.0,9.98,22.9,64.7,2.85
52.0,1.0,9.99,22.9,64.7,2.85
53.0,1.0,9.0,22.9,64.7,2.85
54.0,1.0,10.0,22.9,64.7,2.85
55.0,1.0,10.0,22.9,64.7,3.1
56.0,1.0,10.0,22.9,64.7,3.1
57.0,1.0,10.0,22.9,64.7,3.1
58.0,0.0,9.0,22.9,64.7,3.1
59.0,2.0,10.0,22.9,64.7,3.1
60.0,1.0,10.0,22.9,64.7,3.09
61.0,0.0,9.0,22.9,64.7,3.09
62.0,1.0,10.0,22.9,64.7,3.09
63.0,1.0,11.0,22.9,64.7,3.09
64.0,1.0,10.0,22.9,64.7,3.09
65.0,1.0,10.0,22.9,64.7,3.08
66.0,1.0,9.0,22.9,64.7,3.08
67.0,1.0,10.0,22.9,64.7,3.08
68.0,0.0,10.0,22.9,64.7,3.08
69.0,2.0,9.0,22.9,64.7,3.08
70.0,1.0,9.99,22.9,64.7,3.08
71.0,1.0,10.0,22.9,64.7,3.08
72.0,1.0,10.0,22.9,64.7,3.08
73.0,0.0,9.0,22.9,64.7,3.08
74.0,1.0,10.0,22.9,64.7,3.08
75.0,1.0,10.0,22.9,64.7,3.07
76.0,1.0,10.0,22.9,64.7,3.07
77.0,1.0,10.0,22.9,64.7,3.07
78.0,1.0,8.99,22.9,64.7,3.07
79.0,1.0,11.0,22.9,64.7,3.07
80.0,1.0,10.0,22.9,64.7,3.23
81.0,0.0,10.0,22.9,64.7,3.23
82.0,2.0,9.0,22.9,64.7,3.23
83.0,1.0,10.0,22.9,64.7,3.23
84.0,1.0,9.0,22.9,64.7,3.23
85.0,1.0,10.0,22.9,64.7,3.21
86.0,1.0,10.0,22.9,64.7,3.21
87.0,0.0,9.0,22.9,64.7,3.21
88.0,1.0,9.98,22.9,64.7,3.21
89.0,1.0,9.0,22.9,64.7,3.21
90.0,1.0,9.98,22.9,64.7,3.19
91.0,1.0,9.0,22.9,64.7,3.19
92.0,1.0,11.0,22.9,64.7,3.19
93.0,1.0,10.0,22.9,64.7,3.19
94.1,0.0,10.0,22.9,64.7,3.19
95.1,2.0,10.0,22.9,64.7,3.17
96.1,1.0,9.0,22.9,64.7,3.17
97.1,1.0,10.0,22.9,64.7,3.17
98.1,1.0,10.0,22.9,64.7,3.17
99.1,1.0,10.0,22.9,64.7,3.17
100.1,1.0,11.0,22.9,64.7,3.16
101.1,0.0,10.0,22.9,64.7,3.16
102.1,1.0,8.99,22.9,64.7,3.16
103.1,2.0,10.0,22.9,64.7,3.16
104.1,1.0,10.0,22.9,64.7,3.16
105.1,1.0,10.0,22.9,64.7,3.31
106.1,0.0,9.0,22.9,64.7,3.31
107.1,1.0,11.0,22.9,64.7,3.31
108.1,1.0,10.0,22.9,64.7,3.31
109.1,1.0,10.0,22.9,64.7,3.31
110.1,1.0,9.0,22.9,64.7,3.28
111.1,1.0,10.0,22.9,64.7,3.28
112.1,1.0,10.0,22.9,64.7,3.28
113.1,1.0,9.0,22.9,64.7,3.28
114.1,1.0,9.99,22.9,64.7,3.28
115.1,0.0,9.0,22.9,64.7,3.26
116.1,1.0,9.99,22.9,64.7,3.26
117.1,1.0,10.0,22.9,64.7,3.26
118.1,1.0,9.0,22.9,64.7,3.26
119.1,1.0,10.0,22.9,64.7,3.26
120.1,1.0,10.0,23.0,64.7,3.24
121.1,1.0,10.0,23.0,64.7,3.24
122.1,1.0,9.0,23.0,64.7,3.24
123.1,1.0,10.0,23.0,64.7,3.24
124.1,0.0,10.0,23.0,64.7,3.24
125.1,2.0,9.0,23.0,64.7,3.22
126.1,0.0,10.0,23.0,64.7,3.22
127.1,1.0,10.0,23.0,64.7,3.22
128.1,1.0,9.0,23.0,64.7,3.22
129.1,1.0,10.0,23.0,64.7,3.22
130.1,1.0,9.99,23.0,64.7,3.36
131.1,1.0,8.99,23.0,64.7,3.36
132.1,1.0,10.0,23.0,64.7,3.36
133.1,1.0,9.0,23.0,64.7,3.36
134.1,0.0,10.0,23.0,64.7,3.36
135.1,1.0,10.0,23.0,64.7,3.33
136.1,1.0,10.0,23.0,64.7,3.33
137.1,2.0,9.0,23.0,64.7,3.33
138.1,0.0,10.0,23.0,64.7,3.33
139.1,1.0,9.0,23.0,64.7,3.33
140.1,1.0,10.0,23.0,64.7,3.31
141.1,1.0,10.0,23.0,64.7,3.31
142.1,1.0,9.99,23.0,64.7,3.31
143.1,0.0,8.99,23.0,64.7,3.31
144.1,1.0,10.0,23.0,64.7,3.31
145.1,2.0,10.0,23.0,64.7,3.28
146.1,1.0,9.0,23.0,64.7,3.28
147.1,0.0,8.97,23.0,64.7,3.28
148.1,1.0,10.0,23.0,64.7,3.28
149.1,1.0,8.0,23.0,64.7,3.28
150.1,0.0,9.0,23.0,64.7,3.26
151.1,1.0,10.0,23.0,64.7,3.26
152.1,2.0,9.0,23.0,64.7,3.26
153.1,0.0,10.0,23.0,64.7,3.26
154.1,1.0,10.0,23.0,64.7,3.26
155.1,1.0,10.0,23.0,64.7,3.64
156.1,1.0,10.0,23.0,64.7,3.64
157.1,1.0,9.0,23.0,64.7,3.64
158.1,0.0,10.0,23.0,64.7,3.64
159.1,1.0,10.0,23.0,64.7,3.64
160.1,1.0,9.0,23.0,64.7,3.59
161.1,2.0,10.0,23.0,64.7,3.59
162.1,1.0,9.99,23.0,64.7,3.59
163.1,0.0,9.99,23.0,64.7,3.59
164.1,1.0,9.0,23.0,64.7,3.59
165.1,1.0,10.0,23.0,64.7,3.54
166.1,1.0,10.0,23.0,64.7,3.54
167.1,0.0,9.0,23.0,64.7,3.54
168.1,1.0,10.0,23.0,64.7,3.54
169.1,1.0,10.0,23.0,64.7,3.54
170.1,2.0,10.0,23.0,64.7,3.5
171.1,1.0,9.0,23.0,64.7,3.5
172.1,0.0,10.0,23.0,64.7,3.5
173.1,1.0,9.99,23.0,64.7,3.5
174.1,1.0,10.0,23.0,64.7,3.5
175.1,1.0,9.0,23.0,64.7,3.46
176.1,1.0,10.0,23.0,64.7,3.46
177.1,1.0,10.0,23.0,64.7,3.46
178.1,1.0,9.0,23.0,64.7,3.46
179.1,0.0,10.0,23.0,64.7,3.46
180.1,2.0,9.0,23.0,64.7,3.58
